# Process Names: python3 MCR Main thread,,,,,
# CPU Cores: 12,,,,,
# Total System RAM (MB): 64026,,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,,
# Total GPU Memory (MiB): 8192,,,,,
Time,Process_Name,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:58:08,python3,1903016,0.6,0,0
14:58:08,python3,1911885,38,0.2,0
14:58:08,MCR Main thread,1903016,0.6,0,0
14:58:10,python3,961,0,0,0
14:58:10,python3,1127,0,0,0
14:58:10,python3,4411,0,0,0
14:58:10,python3,1903016,0.6,0,0
14:58:10,python3,1911885,94,2,468
14:58:10,MCR Main thread,1903016,0.6,0,0
14:58:11,python3,961,0,0,0
14:58:11,python3,1127,0,0,0
14:58:11,python3,4411,0,0,0
14:58:11,python3,1903016,0.6,0,0
14:58:11,python3,1911885,103,3.1,944
14:58:11,python3,1912117,29,2.2,0
14:58:11,MCR Main thread,1903016,0.6,0,0
14:58:13,python3,961,0,0,0
14:58:13,python3,1127,0,0,0
14:58:13,python3,4411,0,0,0
14:58:13,python3,1903016,0.6,0,0
14:58:13,python3,1911885,91.2,4.6,6118
14:58:13,python3,1912117,15,0,0
14:58:13,MCR Main thread,1903016,0.6,0,0
14:58:14,python3,961,0,0,0
14:58:14,python3,1127,0,0,0
14:58:14,python3,4411,0,0,0
14:58:14,python3,1903016,0.6,0,0
14:58:14,python3,1912382,92,0.7,188
14:58:14,MCR Main thread,1903016,0.6,0,0
14:58:16,python3,961,0,0,0
14:58:16,python3,1127,0,0,0
14:58:16,python3,4411,0,0,0
14:58:16,python3,1903016,0.6,0,0
14:58:16,python3,1912382,118,2.6,722
14:58:16,MCR Main thread,1903016,0.6,0,0
14:58:17,python3,961,0,0,0
14:58:17,python3,1127,0,0,0
14:58:17,python3,4411,0,0,0
14:58:17,python3,1903016,0.6,0,0
14:58:17,python3,1912382,91,4.5,1318
14:58:17,python3,1912615,13.5,2.2,0
14:58:17,MCR Main thread,1903016,0.6,0,0
14:58:19,python3,961,0,0,0
14:58:19,python3,1127,0,0,0
14:58:19,python3,4411,0,0,0
14:58:19,python3,1903016,0.6,0,0
14:58:19,python3,1912382,100,0,5796
14:58:19,MCR Main thread,1903016,0.6,0,0
14:58:20,python3,961,0,0,0
14:58:20,python3,1127,0,0,0
14:58:20,python3,4411,0,0,0
14:58:20,python3,1903016,0.6,0,0
14:58:20,python3,1912851,137,1.1,254
14:58:20,MCR Main thread,1903016,0.6,0,0
14:58:22,python3,961,0,0,0
14:58:22,python3,1127,0,0,0
14:58:22,python3,4411,0,0,0
14:58:22,python3,1903016,0.6,0,0
14:58:22,python3,1912851,91.3,2.6,722
14:58:22,MCR Main thread,1903016,0.6,0,0
14:58:23,python3,961,0,0,0
14:58:23,python3,1127,0,0,0
14:58:23,python3,4411,0,0,0
14:58:23,python3,1903016,0.6,0,0
14:58:23,python3,1912851,102,4.6,6118
14:58:23,python3,1913042,22,2.2,0
14:58:23,MCR Main thread,1903016,0.6,0,0
14:58:25,python3,961,0,0,0
14:58:25,python3,1127,0,0,0
14:58:25,python3,4411,0,0,0
14:58:25,python3,1903016,0.6,0,0
14:58:25,python3,1913254,56,0.3,0
14:58:25,MCR Main thread,1903016,0.6,0,0
14:58:26,python3,961,0,0,0
14:58:26,python3,1127,0,0,0
14:58:26,python3,4411,0,0,0
14:58:26,python3,1903016,0.6,0,0
14:58:26,python3,1913254,101,2.2,514
14:58:26,MCR Main thread,1903016,0.6,0,0
14:58:28,python3,961,0,0,0
14:58:28,python3,1127,0,0,0
14:58:28,python3,4411,0,0,0
14:58:28,python3,1903016,0.6,0,0
14:58:28,python3,1913254,83,3.8,1018
14:58:28,python3,1913486,24,2.2,0
14:58:28,MCR Main thread,1903016,0.6,0,0
14:58:29,python3,961,0,0,0
14:58:29,python3,1127,0,0,0
14:58:29,python3,4411,0,0,0
14:58:29,python3,1903016,0.6,0,0
14:58:29,python3,1913254,95.6,4.7,5856
14:58:29,MCR Main thread,1903016,0.6,0,0
14:58:31,python3,961,0,0,0
14:58:31,python3,1127,0,0,0
14:58:31,python3,4411,0,0,0
14:58:31,python3,1903016,0.6,0,0
14:58:31,python3,1913742,122,1.2,258
14:58:31,MCR Main thread,1903016,0.6,0,0
14:58:32,python3,961,0,0,0
14:58:32,python3,1127,0,0,0
14:58:32,python3,4411,0,0,0
14:58:32,python3,1903016,0.6,0,0
14:58:32,python3,1913742,90.3,2.7,722
14:58:32,MCR Main thread,1903016,0.6,0,0
14:58:34,python3,961,0,0,0
14:58:34,python3,1127,0,0,0
14:58:34,python3,4411,0,0,0
14:58:34,python3,1903016,0.6,0,0
14:58:34,python3,1913742,99.5,4.6,5702
14:58:34,python3,1913951,23,2.2,0
14:58:34,MCR Main thread,1903016,0.6,0,0
14:58:35,python3,961,0,0,0
14:58:35,python3,1127,0,0,0
14:58:35,python3,4411,0,0,0
14:58:35,python3,1903016,0.6,0,0
14:58:35,python3,1914123,0,0.2,0
14:58:35,MCR Main thread,1903016,0.6,0,0
14:58:37,python3,961,0,0,0
14:58:37,python3,1127,0,0,0
14:58:37,python3,4411,0,0,0
14:58:37,python3,1903016,0.6,0,0
14:58:37,python3,1914123,92,2.2,488
14:58:37,MCR Main thread,1903016,0.6,0,0
14:58:38,python3,961,0,0,0
14:58:38,python3,1127,0,0,0
14:58:38,python3,4411,0,0,0
14:58:38,python3,1903016,0.6,0,0
14:58:38,python3,1914123,104,3.3,958
14:58:38,python3,1914358,0,2.2,0
14:58:38,MCR Main thread,1903016,0.6,0,0
14:58:40,python3,961,0,0,0
14:58:40,python3,1127,0,0,0
14:58:40,python3,4411,0,0,0
14:58:40,python3,1903016,0.6,0,0
14:58:40,python3,1914123,90.8,4.6,6118
14:58:40,MCR Main thread,1903016,0.6,0,0
14:58:41,python3,961,0,0,0
14:58:41,python3,1127,0,0,0
14:58:41,python3,4411,0,0,0
14:58:41,python3,1903016,0.6,0,0
14:58:41,python3,1914613,98,0.9,220
14:58:41,MCR Main thread,1903016,0.6,0,0
14:58:43,python3,961,0,0,0
14:58:43,python3,1127,0,0,0
14:58:43,python3,4411,0,0,0
14:58:43,python3,1903016,0.6,0,0
14:58:43,python3,1914613,81,2.6,722
14:58:43,MCR Main thread,1903016,0.6,0,0
14:58:44,python3,961,0,0,0
14:58:44,python3,1127,0,0,0
14:58:44,python3,4411,0,0,0
14:58:44,python3,1903016,0.6,0,0
14:58:44,python3,1914613,91.5,4.6,3144
14:58:44,python3,1914848,26,2.2,0
14:58:44,MCR Main thread,1903016,0.6,0,0
14:58:46,python3,961,0,0,0
14:58:46,python3,1127,0,0,0
14:58:46,python3,4411,0,0,0
